Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Bye,Pts*,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD
Christian McCaffreyC. McCaffrey,13,86.0,0,0,0,0,0,0,59,225,5,0,17,149,1,0,0,0
Kalen BallageK. Ballage,6,85.0,0,0,0,0,0,0,91,303,3,0,29,166,0,0,0,0
KJ HamlerK. Hamler,5,85.0,0,0,0,0,0,0,9,40,0,0,30,381,3,0,0,0
Sammy WatkinsS. Watkins,10,85.0,1,0,0,0,1,0,1,3,0,0,37,421,2,0,1,0
Odell Beckham Jr.O. Beckham,9,83.0,1,1,18,0,0,0,3,72,1,0,23,319,3,0,0,0
Brian HillB. Hill,10,83.0,0,0,0,0,0,0,100,465,1,0,25,199,0,0,1,0
Boston ScottB. Scott,9,83.0,0,0,0,0,0,0,80,374,1,0,25,212,1,0,0,0
Cam SimsC. Sims,8,82.0,0,0,0,0,0,0,1,5,0,0,32,477,1,0,0,0
Golden TateG. Tate,11,81.0,2,1,18,0,0,0,0,0,0,0,35,388,2,0,0,0
Michael ThomasM. Thomas,6,81.0,0,0,0,0,0,0,1,1,0,0,40,438,0,0,0,0
Duke JohnsonD. Johnson,8,79.0,0,0,0,0,0,0,77,235,1,0,28,249,1,0,2,0
Alexander MattisonA. Mattison,7,79.0,0,0,0,0,0,0,96,434,2,0,13,125,1,0,0,0
Henry RuggsH. Ruggs,6,79.0,0,0,0,0,0,0,9,49,0,0,26,452,2,0,2,0
Alex SmithA. Smith,8,79.0,252,168,1582,6,8,0,10,3,0,0,0,0,0,0,0,0
Jordan AkinsJ. Akins,8,77.0,0,0,0,0,0,0,1,4,0,0,37,403,1,0,0,0
Trey BurtonT. Burton,7,77.0,0,0,0,0,0,0,2,3,2,0,28,250,3,0,0,0
Tyler EifertT. Eifert,8,77.0,0,0,0,0,0,0,0,0,0,0,36,349,2,0,0,0
Anthony FirkserA. Firkser,4,77.0,0,0,0,0,0,0,0,0,0,0,39,387,1,0,0,0
Mo Alie-CoxM. Alie-Cox,7,76.0,0,0,0,0,0,0,0,0,0,0,31,394,2,0,1,0
Dwayne HaskinsD. Haskins,8,76.0,241,148,1439,5,7,0,20,46,1,0,0,0,0,0,3,0
Carlos HydeC. Hyde,6,76.0,0,0,0,0,0,0,81,356,4,0,16,93,0,0,0,0
Tyron JohnsonT. Johnson,6,76.0,0,0,0,0,0,0,3,17,0,0,20,398,3,0,0,0
Jalen ReagorJ. Reagor,9,76.0,0,0,0,0,0,0,4,26,0,0,31,396,1,1,0,0
Deebo SamuelD. Samuel,11,76.0,0,0,0,0,0,0,8,26,0,0,33,391,1,0,0,0
Devontae BookerD. Booker,6,75.0,0,0,0,0,0,0,93,423,3,0,17,84,0,0,0,0
Jakeem GrantJ. Grant,7,75.0,0,0,0,0,0,0,3,20,0,0,36,373,1,0,0,0
Jimmy GaroppoloJ. Garoppolo,11,74.0,140,94,1096,7,5,0,10,25,0,0,0,0,0,0,0,0
Joshua KelleyJ. Kelley,6,74.0,0,0,0,0,0,0,111,354,2,0,23,148,0,0,2,0
Mike GlennonM. Glennon,8,73.0,179,111,1072,7,5,1,6,17,0,0,0,0,0,0,2,0
Drew SampleD. Sample,9,73.0,0,0,0,0,0,0,0,0,0,0,40,349,1,0,1,0
Zach ErtzZ. Ertz,9,72.0,0,0,0,0,0,0,0,0,0,0,36,335,1,1,0,0
Darren FellsD. Fells,8,71.0,0,0,0,0,0,0,0,0,0,0,21,312,4,0,0,0
Chris Herndon IVC. Herndon,10,71.0,0,0,0,0,0,0,0,0,0,0,31,287,3,0,2,0
Kyle JuszczykK. Juszczyk,11,71.0,0,0,0,0,0,0,17,64,2,0,19,202,4,0,0,0
Preston WilliamsP. Williams,7,71.0,0,0,0,0,0,0,0,0,0,0,18,288,4,2,0,0
N'Keal HarryN. Harry,5,70.0,0,0,0,0,0,0,2,0,0,0,33,309,2,0,1,0
Jordan ReedJ. Reed,11,70.0,0,0,0,0,0,0,0,0,0,0,26,231,4,0,0,0
Benjamin SnellB. Snell,4,70.0,0,0,0,0,0,0,111,368,4,0,10,61,0,0,1,0
Sony MichelS. Michel,5,69.0,0,0,0,0,0,0,79,449,1,0,7,114,1,0,0,0
Le'Veon BellL. Bell,10,68.0,0,0,0,0,0,0,82,328,2,0,16,138,0,0,0,0
Richard RodgersR. Rodgers,9,67.0,0,0,0,0,0,0,0,0,0,0,24,345,2,0,0,0
Salvon AhmedS. Ahmed,7,64.0,0,0,0,0,0,0,75,319,3,0,11,61,0,1,0,0
C.J. BeathardC. Beathard,11,64.0,104,66,787,6,0,0,6,28,0,0,0,0,0,0,3,0
Miles BoykinM. Boykin,7,64.0,0,0,0,0,0,0,0,0,0,0,19,266,4,0,0,0
Joe FlaccoJ. Flacco,10,64.0,134,74,864,6,3,0,6,22,0,0,0,0,0,0,0,0
Kenny GolladayK. Golladay,5,64.0,0,0,0,0,0,0,0,0,0,0,20,338,2,0,0,0
