Player,Bye,Pts,passAtt,passCmp,passYds,passTD,passInt,pass2pt,rushAtt,rushYds,rushTD,ru2pt,rec,recYds,recTD,rec2pt,FL,FLTD
David Moore,11,54.0,0,0,0,0,0,0,3,25,0,0,17,301,2,0,1,0
Seth Roberts,8,54.0,0,0,0,0,0,0,0,0,0,0,21,271,2,0,0,0
Benjamin Snell,7,54.0,0,0,0,0,0,0,108,426,2,0,3,23,0,0,1,0
Derrius Guice,10,53.0,0,0,0,0,0,0,42,245,2,0,7,79,1,0,0,0
Marcus Johnson,6,53.0,0,0,0,0,0,0,0,0,0,0,17,277,2,0,0,0
Delanie Walker,11,52.0,0,0,0,0,0,0,0,0,0,0,21,215,2,0,0,0
Ty Johnson,5,50.0,0,0,0,0,0,0,63,273,0,0,24,109,0,0,1,0
Jarius Wright,7,50.0,0,0,0,0,0,0,1,-7,0,0,28,296,0,0,0,0
Pharoh Cooper,12,49.0,0,0,0,0,0,0,1,2,0,0,25,243,1,0,0,0
Keke Coutee,10,49.0,0,0,0,0,0,0,2,14,1,0,22,254,0,0,1,0
Matt Moore,12,49.0,91,59,659,4,0,0,5,-1,0,0,0,0,0,0,0,0
Jeremy Sprinkle,10,49.0,0,0,0,0,0,0,0,0,0,0,26,241,1,0,0,0
Trey Quinn,10,48.0,0,0,0,0,0,0,0,0,0,0,26,198,1,1,1,0
Brandon Bolden,10,47.0,0,0,0,0,0,0,15,68,3,0,9,111,1,0,0,0
Miles Boykin,8,47.0,0,0,0,0,0,0,0,0,0,0,13,198,3,0,0,0
Demetrius Harris,7,47.0,0,0,0,0,0,0,0,0,0,0,15,149,3,1,0,0
Kyle Juszczyk,4,47.0,0,0,0,0,0,0,3,7,0,0,20,239,1,0,0,0
Mike Boone,12,46.0,0,0,0,0,0,0,49,273,3,0,3,17,0,0,0,0
Jaron Brown,11,46.0,0,0,0,0,0,0,0,0,0,0,16,220,2,0,1,0
Isaiah Ford,5,46.0,0,0,0,0,0,0,1,11,0,0,23,244,0,0,0,0
Wayne Gallman,11,46.0,0,0,0,0,0,0,29,110,2,0,11,102,1,0,1,0
Vyncint Smith,4,46.0,0,0,0,0,0,0,3,52,1,0,17,225,0,0,1,0
Jordan Wilkins,6,46.0,0,0,0,0,0,0,51,307,2,0,7,43,0,0,0,0
Ryquell Armstead,10,45.0,0,0,0,0,0,0,35,108,0,0,14,144,2,0,0,0
Bennie Fowler,11,44.0,0,0,0,0,0,0,1,20,0,0,23,193,0,1,0,0
Kalen Ballage,5,43.0,0,0,0,0,0,0,74,135,3,0,14,63,0,0,0,0
Nick Foles,10,43.0,117,77,736,3,2,1,4,23,0,0,0,0,0,0,2,0
KeeSean Johnson,12,43.0,0,0,0,0,0,0,1,3,0,0,21,187,1,1,1,0
Zay Jones,6,43.0,0,0,0,0,0,0,1,3,0,0,27,216,0,0,0,0
Chester Rogers,6,43.0,0,0,0,0,0,0,1,18,0,0,16,179,2,0,1,0
Jeffery Wilson,4,43.0,0,0,0,0,0,0,27,105,4,0,3,34,1,0,0,0
Tavon Austin,8,42.0,0,0,0,0,0,0,6,47,1,0,13,177,1,0,0,0
Malik Turner,11,42.0,0,0,0,0,0,0,0,0,0,0,15,245,1,0,0,0
Bo Scarbrough,5,41.0,0,0,0,0,0,0,89,377,1,0,1,5,0,0,1,0
Justin Watson,7,40.0,0,0,0,0,0,0,0,0,0,0,15,159,2,0,0,0
Charles Clay,12,39.0,0,0,0,0,0,0,0,0,0,0,18,237,1,0,0,0
Justice Hill,8,39.0,0,0,0,0,0,0,58,225,2,0,8,70,0,0,0,0
Matt Schaub,9,39.0,67,50,580,3,1,1,3,-3,0,0,0,0,0,0,1,0
Mark Walton,9,39.0,0,0,0,0,0,0,53,201,0,0,15,89,0,0,1,0
Javon Wims,6,39.0,0,0,0,0,0,0,0,0,0,0,18,186,1,0,0,0
Jakeem Grant,5,38.0,0,0,0,0,0,0,4,5,1,0,19,164,0,0,1,0
James O'Shaughnessy,10,38.0,0,0,0,0,0,0,0,0,0,0,14,153,2,0,0,0
Jonathan Williams,6,38.0,0,0,0,0,0,0,49,235,1,0,5,59,0,0,0,0
Rhett Ellison,11,37.0,0,0,0,0,0,0,0,0,0,0,18,167,1,0,0,0
