Player,Year,Pos,Bye,Pts,passAtt,passCmp,passYds,passTD,passInt,pass2pt,rushAtt,rushYds,rushTD,ru2pt,rec,recYds,recTD,rec2pt,FL,FLTD,ID
J. Edelman,2010,WR,5,17.0,0,0,0,0,0,0,2,14,0,0,7,86,0,0,0,0,edelmju01
K. Faulk,2010,RB,5,16.7,0,0,0,0,0,0,8,45,0,0,6,62,0,0,0,0,faulkke01
D. Rhodes,2010,RB,7,16.6,0,0,0,0,0,0,37,172,0,0,1,4,0,0,1,0,rhodedo01
R. Royal,2010,TE,8,16.6,0,0,0,0,0,0,0,0,0,0,5,56,1,0,0,0,royalro01
L. Maroney,2010,RB,9,16.4,0,0,0,0,0,0,36,74,0,0,4,50,0,0,0,0,maronla01
B. Pascoe,2010,RB,8,16.2,0,0,0,0,0,0,0,0,0,0,9,72,0,0,0,0,pascobe01
G. Jones,2010,RB,9,16.1,0,0,0,0,0,0,2,4,0,0,11,47,0,0,0,0,jonesgr03
N. Tahi,2010,RB,4,16.0,0,0,0,0,0,0,1,1,0,0,6,39,1,0,0,0,tahina01
D. Nance,2010,RB,8,15.5,0,0,0,0,0,0,36,95,0,0,3,30,0,0,0,0,nancedi01
B. Manumaleuna,2010,TE,8,15.3,0,0,0,0,0,0,0,0,0,0,5,43,1,0,0,0,manumbr01
C. Schilens,2010,WR,10,15.0,0,0,0,0,0,0,0,0,0,0,5,40,1,0,0,0,schilch01
A. Arrington,2010,WR,10,14.9,0,0,0,0,0,0,0,0,0,0,7,79,0,0,0,0,arrinad01
T. Castille,2010,RB,4,14.6,0,0,0,0,0,0,5,3,0,0,10,43,0,0,0,0,castiti01
D. Gronkowski,2010,TE,9,14.5,0,0,0,0,0,0,0,0,0,0,8,65,0,0,0,0,gronkda01
J. Davis,2010,RB,9,14.5,0,0,0,0,0,0,19,60,0,0,4,45,0,0,0,0,davisja08
R. Kelly,2010,TE,6,14.2,0,0,0,0,0,0,0,0,0,0,10,42,0,0,0,0,kellyre01
M. Palmer,2010,TE,8,13.9,0,0,0,0,0,0,0,0,0,0,5,29,1,0,0,0,palmemi04
W. Heller,2010,TE,7,13.7,0,0,0,0,0,0,0,0,0,0,4,37,1,0,0,0,hellewi01
T. Bouman,2010,QB,9,13.7,34,18,222,2,2,0,2,8,0,0,0,0,0,0,0,0,boumato01
J. Starks,2010,RB,10,13.6,0,0,0,0,0,0,29,101,0,0,2,15,0,0,0,0,starkja02
S. Slaton,2010,RB,7,13.4,0,0,0,0,0,0,19,93,0,0,3,11,0,0,0,0,slatost01
J. Conner,2010,RB,7,13.3,0,0,0,0,0,0,8,44,1,0,2,9,0,0,0,0,connojo01
B. Swain,2010,WR,10,13.2,0,0,0,0,0,0,0,0,0,0,6,72,0,0,0,0,swainbr01
J. Wright,2010,RB,6,13.0,0,0,0,0,0,0,6,28,0,0,8,42,0,0,1,0,wrighja02
J. Battle,2010,RB,4,12.9,0,0,0,0,0,0,20,50,1,0,1,9,0,0,0,0,battlja01
D. Stallworth,2010,WR,8,12.7,0,0,0,0,0,0,5,45,0,0,2,82,0,0,1,0,stalldo01
R. Wallace,2010,WR,5,12.2,0,0,0,0,0,0,0,0,0,0,6,62,0,0,0,0,wallaro04
E. Weems,2010,WR,8,12.1,0,0,0,0,0,0,0,0,0,0,6,61,0,0,0,0,weemser01
A. Gonzalez,2010,WR,7,11.7,0,0,0,0,0,0,0,0,0,0,5,67,0,0,0,0,gonzaan01
C. McIntyre,2010,RB,6,11.7,0,0,0,0,0,0,4,5,1,0,4,32,0,0,1,0,mcintco01
R. Barden,2010,WR,8,11.4,0,0,0,0,0,0,0,0,0,0,5,64,0,0,0,0,bardera01
K. Sperry,2010,TE,5,11.3,0,0,0,0,0,0,0,0,0,0,4,73,0,0,0,0,sperrko01
K. Wilson,2010,RB,10,11.3,0,0,0,0,0,0,0,0,0,0,6,73,0,0,1,0,wilsokr01
